rider_profile,category,od_records,od_records_routed,total_demand,routed_demand,demand_success_rate,mean_route_cost,mean_route_distance_m,demand_weighted_mean_route_cost,demand_weighted_mean_route_distance_m
child,home_greenspace,2000,1835,2000.0,1835.0,0.9175,9123.126587491985,5307.037799932535,9123.126587491985,5307.037799932535
child,home_healthcare,2841,2679,3000.0,2829.0,0.943,3463.409215881853,945.5101884332432,3466.444116188078,946.1022010136428
child,home_office,17555,15109,20000.0,17229.0,0.86145,8399.436652165601,3954.0980216621056,8266.747102393101,3804.9021128131903
child,home_school,14898,14369,20000.0,19242.0,0.9621,3047.241354198493,741.8210051405276,3093.293115687406,744.6296808394883
child,home_store,3000,2679,3000.0,2679.0,0.893,9106.624572171542,5256.738342431156,9106.624572171542,5256.738342431156
child,home_transit,2000,1754,2000.0,1754.0,0.877,10676.999499292995,5364.453010170808,10676.999499292995,5364.453010170808
low_confidence_adult,home_greenspace,2000,1835,2000.0,1835.0,0.9175,9383.54410116361,5319.471973326313,9383.54410116361,5319.471973326313
low_confidence_adult,home_healthcare,2841,2679,3000.0,2829.0,0.943,3522.966973659958,942.375683872086,3525.9980426509314,943.1151159934147
low_confidence_adult,home_office,17555,15109,20000.0,17229.0,0.86145,8583.703417539753,3963.8208862908737,8445.08666497683,3812.767569007557
low_confidence_adult,home_school,14898,14369,20000.0,19242.0,0.9621,3094.2437873841445,737.5511510633058,3140.50928083139,740.4267635870289
low_confidence_adult,home_store,3000,2679,3000.0,2679.0,0.893,9363.97713658711,5273.280439131082,9363.97713658711,5273.280439131082
low_confidence_adult,home_transit,2000,1754,2000.0,1754.0,0.877,10938.912074860204,5370.471751971498,10938.912074860204,5370.471751971498
typical_adult,home_greenspace,2000,1835,2000.0,1835.0,0.9175,8224.067519330501,5123.230886680011,8224.067519330501,5123.230886680011
typical_adult,home_healthcare,2841,2679,3000.0,2829.0,0.943,3210.69564480912,933.6620231358672,3214.044338274824,933.7489115295092
typical_adult,home_office,17555,15109,20000.0,17229.0,0.86145,7647.506934083708,3801.750428906173,7537.700407129179,3659.42417709059
typical_adult,home_school,14898,14369,20000.0,19242.0,0.9621,2849.3752111096173,728.215522110675,2894.8858833033946,731.072407843515
typical_adult,home_store,3000,2679,3000.0,2679.0,0.893,8179.8758625285955,5055.472942999499,8179.8758625285955,5055.472942999499
typical_adult,home_transit,2000,1754,2000.0,1754.0,0.877,9739.482874326595,5151.362982044064,9739.482874326595,5151.362982044064
experienced_adult,home_greenspace,2000,1835,2000.0,1835.0,0.9175,7229.204639573369,4877.442831952194,7229.204639573369,4877.442831952194
experienced_adult,home_healthcare,2841,2679,3000.0,2829.0,0.943,2960.529711407527,917.9745012890312,2964.2739116666794,918.1528175866772
experienced_adult,home_office,17555,15109,20000.0,17229.0,0.86145,6832.568990243099,3618.227941955645,6749.950026913699,3484.847040396606
experienced_adult,home_school,14898,14369,20000.0,19242.0,0.9621,2658.9174049577587,723.5118256737737,2703.8121354552936,726.3986737536483
experienced_adult,home_store,3000,2679,3000.0,2679.0,0.893,7156.057661442631,4808.5625380456,7156.057661442631,4808.5625380456
experienced_adult,home_transit,2000,1754,2000.0,1754.0,0.877,8708.051105601488,4930.05199807277,8708.051105601488,4930.05199807277
