candidate_id,location,simplified_length_m,reconstructed_physical_length_m,improvement_length_m,existing_low_stress_length_m,high_stress_fraction,underlying_lts_values,mixed_lts,physical_constituent_count,high_stress_names
C001,Chauncy Street,129.6778280830104,129.6778280830104,129.6778280830104,0.0,1.0,3,False,12,Chauncy Street
C002,Cambridge Street,172.27810315911978,172.27810315911978,172.27810315911978,0.0,1.0,3,False,27,Cambridge Street
C003,Hyde Park Avenue,221.7126336026637,221.71263360266371,221.71263360266371,0.0,1.0,3,False,5,Hyde Park Avenue
C004,Beacon Street,147.6610593415814,147.6610593415814,147.6610593415814,0.0,1.0,3,False,9,Beacon Street
C005,Pond Street,95.36521553179928,95.36521553179927,95.36521553179927,0.0,1.0,3,False,9,Pond Street
C006,Dartmouth Street,108.34337222927216,108.34337222927216,108.34337222927216,0.0,1.0,3,False,2,Dartmouth Street
C007,Longwood Avenue,92.03529538208026,92.03529538208026,92.03529538208026,0.0,1.0,3,False,4,Longwood Avenue
C008,Columbia Road,69.25087733144694,69.25087733144696,69.25087733144696,0.0,1.0,3,False,4,Columbia Road
C009,Massachusetts Avenue,40.1636716253826,40.16367162538259,40.16367162538259,0.0,1.0,3,False,3,Massachusetts Avenue
C010,South Service Road,53.39166060873392,53.391660608733915,53.391660608733915,0.0,1.0,4,False,2,South Service Road
C011,"42.35018, -71.11089",34.424362174012714,34.424362174012714,34.424362174012714,0.0,1.0,4,False,23,
C012,Congress Street,95.93457519084612,95.93457519084613,95.93457519084613,0.0,1.0,3,False,1,Congress Street
C013,Court Street,64.68512017791619,64.68512017791619,64.68512017791619,0.0,1.0,3,False,2,Court Street
C014,Pond Street,72.43599709093004,72.43599709093004,72.43599709093004,0.0,1.0,3,False,5,Pond Street
C015,Park Street,122.76705587320492,122.76705587320492,122.76705587320492,0.0,1.0,3,False,3,Park Street
C016,East Berkeley Street,82.62945930759204,82.62945930759204,82.62945930759204,0.0,1.0,3,False,1,East Berkeley Street
C017,Fenway,117.30656068367476,117.30656068367475,117.30656068367475,0.0,1.0,3,False,3,Fenway
C018,Columbus Avenue,34.323275503111745,34.323275503111745,34.323275503111745,0.0,1.0,3,False,1,Columbus Avenue
C019,Columbus Avenue,37.166108969472845,37.166108969472845,37.166108969472845,0.0,1.0,3,False,1,Columbus Avenue
C020,Cambridge Street,30.8272261785361,30.8272261785361,30.8272261785361,0.0,1.0,3,False,3,Cambridge Street
