candidate_id,location,length_m,current_lts,modeled_demand,preliminary_benefit,selection_reason,physical_id,node_a,node_b,osmid,latitude,longitude,connects_safe_components,screening_rank,street_name,underlying_lts_values,mixed_lts,directed_edge_count,demand_child,demand_low_confidence_adult,demand_typical_adult,demand_experienced_adult,benefit_child,benefit_low_confidence_adult,benefit_typical_adult,benefit_experienced_adult,safe_component_a,safe_component_b
C001,Chauncy Street,129.6778280830104,3.0,547.5,110508.2031466394,high demand-weighted stress penalty,61341614|7637353483|591217296,61341614,7637353483,591217296,42.3540365,-71.05976949999999,False,1,Chauncy Street,3,False,1,709.0,623.0,451.0,407.0,183883.16022170873,161578.57379143094,70181.64055852525,26389.438014892607,0.0,
C002,Cambridge Street,172.27810315911978,3.0,407.5,100054.8153622378,high demand-weighted stress penalty,6162811201|6162811247|8644957,6162811201,6162811247,8644957,42.36021565,-71.060512,False,2,Cambridge Street,3,False,1,377.0,382.0,528.0,343.0,129897.6897819763,131620.4708135675,109155.40616161835,29545.69469178903,0.0,
C003,Hyde Park Avenue,221.71263360266371,3.0,289.75,88879.05199546782,high demand-weighted stress penalty,61361647|8861195054|8648734,61361647,8861195054,8648734,42.2969259,-71.1156098,False,3,Hyde Park Avenue,3,False,2,267.0,271.0,310.0,311.0,118394.54634382244,120168.24741264374,82477.09970019091,34476.31452521422,0.0,
C004,Beacon Street,147.6610593415814,3.0,393.0,76447.82194762024,high demand-weighted stress penalty,1830597858|345446433|8647432,1830597858,345446433,8647432,42.3574197,-71.06419700000001,False,4,Beacon Street,3,False,2,317.0,331.0,447.0,477.0,93617.1116225626,97751.62128412689,79205.39223082429,35217.16265296716,,
C005,Pond Street,95.36521553179927,3.0,423.25,63124.62029088623,high demand-weighted stress penalty; directly bridges distinct LTS 1-2 components,"61386009|61468439|[1128411371, 8644414]",61386009,61468439,"[1128411371, 8644414]",42.3196449,-71.05943579999999,True,5,Pond Street,3,False,1,483.0,526.0,411.0,273.0,92122.79820371809,100324.20673945283,47034.1243002834,13017.351920090596,603.0,0.0
C006,Dartmouth Street,108.34337222927216,3.0,366.25,62660.38932879956,high demand-weighted stress penalty,"1294999086|4786794330|[426477489, 40016861]",1294999086,4786794330,"[426477489, 40016861]",42.3477747,-71.0761414,False,6,Dartmouth Street,3,False,1,421.0,478.0,332.0,234.0,91225.11941704717,103576.2638511842,43163.99949614204,12676.174550824855,0.0,
C007,Longwood Avenue,92.03529538208026,3.0,480.75,57667.015204026946,high demand-weighted stress penalty,"11033580198|12753050551|[1377307070, 1377307071]",11033580198,12753050551,"[1377307070, 1377307071]",42.339229,-71.10781925,False,7,Longwood Avenue,3,False,2,404.0,400.0,484.0,635.0,74364.51866872083,73628.23630566419,53454.099557912254,29221.20628381048,,
C008,Columbia Road,69.25087733144694,3.0,502.25,54805.14432010712,high demand-weighted stress penalty,"61385970|8170967570|[981184995, 857964823]",61385970,8170967570,"[981184995, 857964823]",42.3202852,-71.0609105,False,8,Columbia Road,3,False,1,590.0,630.0,473.0,316.0,81716.03525110742,87256.10543762316,39306.797973329296,10941.638618368619,603.0,
C009,Massachusetts Avenue,40.1636716253826,3.0,945.25,53504.03515575343,high demand-weighted stress penalty,"61324503|6298024782|[946544393, 946544395, 946544397]",61324503,6298024782,"[946544393, 946544395, 946544397]",42.37318595,-71.11814265,False,9,Massachusetts Avenue,3,False,1,933.0,919.0,943.0,986.0,74945.41125296394,73820.82844745323,45449.210811282945,19800.69011131362,0.0,0.0
C010,South Service Road,53.391660608733915,4.0,269.0,52961.190345075986,high demand-weighted stress penalty,13990609471|61389495|8646214,13990609471,61389495,8646214,42.33886505,-71.105133,False,10,South Service Road,4,False,1,269.0,269.0,269.0,269.0,71811.7835187471,71811.7835187471,43087.07011124827,25134.124231561476,,0.0
