candidate_id,rider_profile,category,od_records,routed_od_records,improved_od_records,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction
C001,child,home_greenspace,2000,1835,57,1835.0,57.0,9413.924954118724,0.0562329623015779
C001,child,home_healthcare,2841,2679,2,2829.0,2.0,232.1179462460252,0.0023669635424722
C001,child,home_office,17555,15109,712,17229.0,771.0,123104.35434456108,0.0864328218188948
C001,child,home_school,14898,14369,0,19242.0,0.0,8.532712314490708e-10,1.4335598134416865e-15
C001,child,home_store,3000,2679,82,2679.0,82.0,14755.558403957028,0.0604819107541526
C001,child,home_transit,2000,1754,43,1754.0,43.0,7332.846084288933,0.0391555886985249
C001,low_confidence_adult,home_greenspace,2000,1835,52,1835.0,52.0,7870.075341198926,0.0457062848483537
C001,low_confidence_adult,home_healthcare,2841,2679,1,2829.0,1.0,181.54895931631916,0.0018200308499344
C001,low_confidence_adult,home_office,17555,15109,682,17229.0,737.0,102940.10485786136,0.0707490193608344
C001,low_confidence_adult,home_school,14898,14369,0,19242.0,0.0,9.96928761765048e-10,1.6497336551590768e-15
C001,low_confidence_adult,home_store,3000,2679,82,2679.0,82.0,12614.145995382172,0.050283418450083
C001,low_confidence_adult,home_transit,2000,1754,40,1754.0,40.0,6407.865872671051,0.0333971719090604
C001,typical_adult,home_greenspace,2000,1835,34,1835.0,34.0,3484.7217117956197,0.0230911395261172
C001,typical_adult,home_healthcare,2841,2679,1,2829.0,1.0,116.71004527482653,0.0012835814331255
C001,typical_adult,home_office,17555,15109,465,17229.0,508.0,53353.62857719709,0.0410832713581671
C001,typical_adult,home_school,14898,14369,0,19242.0,0.0,7.966161064132392e-10,1.43010335067155e-15
C001,typical_adult,home_store,3000,2679,63,2679.0,63.0,6375.622457929506,0.0290939819629576
C001,typical_adult,home_transit,2000,1754,27,1754.0,27.0,2342.201627226991,0.0137106735692745
C001,experienced_adult,home_greenspace,2000,1835,29,1835.0,29.0,1361.0348463786077,0.010259888883058
C001,experienced_adult,home_healthcare,2841,2679,1,2829.0,1.0,51.87113123330148,0.0006185494714414
C001,experienced_adult,home_office,17555,15109,344,17229.0,379.0,18958.351731631363,0.0163019646799771
C001,experienced_adult,home_school,14898,14369,0,19242.0,0.0,7.627853904068616e-10,1.4661406772546257e-15
C001,experienced_adult,home_store,3000,2679,38,2679.0,38.0,1903.640304646696,0.0099297507290925
C001,experienced_adult,home_transit,2000,1754,9,1754.0,9.0,466.8401810990146,0.0030564526395115
C002,child,home_greenspace,2000,1835,27,1835.0,27.0,4410.982234010122,0.0263484783325683
C002,child,home_healthcare,2841,2679,0,2829.0,0.0,1.3207923643676622e-10,1.3468443195341506e-15
C002,child,home_office,17555,15109,466,17229.0,500.0,93618.76050584152,0.0657306858785754
