combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002+C003,C001;C002;C003,3,523.6685648447939,child,2,4,42294,38425,1759,50000.0,45568.0,1877.0,373125.9595936311,0.1373703012648936,-64130.24154299884,-1.4073525619513438,0.0,129.5532555540558,16
C001+C002+C003,C001;C002;C003,3,523.6685648447939,low_confidence_adult,2,4,42294,38425,1728,50000.0,45568.0,1842.0,332459.8935613483,0.1198499053690065,-41254.4789501698,-0.9053388112309032,0.0,122.63953668088652,16
C001+C002+C003,C001;C002;C003,3,523.6685648447939,typical_adult,2,4,42294,38425,1503,50000.0,45568.0,1604.0,222721.49719637784,0.0895358950653281,44704.7398565577,0.9810555621611152,0.0,134.86120763700455,16
C001+C002+C003,C001;C002;C003,3,523.6685648447939,experienced_adult,2,4,42294,38425,1276,50000.0,45568.0,1362.0,84736.84671672015,0.037758461854986,19987.853628627134,0.4386379395327233,0.0,131.37430105009116,16
C001+C002+C004,C001;C002;C004,3,449.6169905837116,child,2,4,42294,38425,1745,50000.0,45568.0,1858.0,339166.39958729665,0.1248677270833115,-95421.72122533056,-2.0940511153733,0.0,145.72850849013776,16
C001+C002+C004,C001;C002;C004,3,449.6169905837116,low_confidence_adult,2,4,42294,38425,1736,50000.0,45568.0,1847.0,303936.8311020355,0.1095675031821933,-71056.48805613154,-1.5593505981419316,0.0,138.23007619101554,16
C001+C002+C004,C001;C002;C004,3,449.6169905837116,typical_adult,2,4,42294,38425,1553,50000.0,45568.0,1651.0,211690.25412289027,0.0851012435624377,41860.3013211463,0.9186337193018412,0.0,185.54562360001728,16
C001+C002+C004,C001;C002;C004,3,449.6169905837116,experienced_adult,2,4,42294,38425,1331,50000.0,45568.0,1418.0,78806.54216748202,0.0351159375366168,15136.521555691412,0.3321743670051661,0.0,165.12560212193057,16
C001+C002+C005,C001;C002;C005,3,397.3211467739295,child,2,3,42294,38425,1899,50000.0,45568.0,2007.0,340025.79301215964,0.1251841219377651,77.18168216554113,0.001693769359321,0.0,149.3123436709866,16
C001+C002+C005,C001;C002;C005,3,397.3211467739295,low_confidence_adult,2,3,42294,38425,1887,50000.0,45568.0,1993.0,305476.4170056608,0.1101225151653843,-13247.461048389774,-0.2907185096644525,0.0,122.23712976812384,16
C001+C002+C005,C001;C002;C005,3,397.3211467739295,typical_adult,2,3,42294,38425,1584,50000.0,45568.0,1675.0,191681.604552126,0.0770575999495929,62450.26835843448,1.370485172894015,0.0,149.90775004285388,16
C001+C002+C005,C001;C002;C005,3,397.3211467739295,experienced_adult,2,3,42294,38425,1251,50000.0,45568.0,1324.0,67103.50298310773,0.0299011015384369,17849.83252095215,0.3917185858706142,0.0,144.34891130798496,16
