experiment,robustness_rank,candidate_id,profile_count,mean_route_cost_reduction,min_profile_route_cost_reduction,max_profile_route_cost_reduction,mean_percent_cost_reduction,mean_improved_demand,mean_improved_od_records,location,length_m,current_lts,baseline_rank,baseline_mean_route_cost_reduction,rank_change_vs_baseline,benefit_change_vs_baseline,benefit_change_pct_vs_baseline
high_aversion,1,C001,4,148431.94959983276,65722.51357497342,204219.021452809,0.04607975483984648,735.75,684.75,Chauncy Street,129.6778280830104,3.0,1,93316.7913435045,0,55115.15825632826,59.062423238971185
high_aversion,2,C006,4,144391.50814619582,41579.338283757264,264148.6838114667,0.04301998389287118,682.75,645.75,Dartmouth Street,108.34337222927216,3.0,5,52581.36722703497,3,91810.14091916085,174.60584568435533
high_aversion,3,C002,4,120772.70079475781,90230.99313158543,150386.2031914643,0.038490211040595926,470.75,443.25,Cambridge Street,172.27810315911978,3.0,2,85055.17063722195,-1,35717.53015753586,41.99336723440199
high_aversion,4,C005,4,102858.76417656065,35837.98264761198,167249.9407194881,0.031229976462626,549.25,531.25,Pond Street,95.36521553179928,3.0,7,47615.96311554218,3,55242.80106101847,116.01739720557461
high_aversion,5,C008,4,95123.5875081631,29872.727914426967,162255.84319196033,0.028665982537892952,688.25,660.5,Columbia Road,69.25087733144694,3.0,9,41016.964798451154,4,54106.62270971194,131.91279017250702
high_aversion,6,C010,4,83660.72779934465,45959.54145200137,129261.21033375038,0.02584224205299435,269.0,221.0,South Service Road,53.39166060873392,4.0,8,47575.30658117338,2,36085.421218171265,75.8490566037699
high_aversion,7,C003,4,82785.57341861815,67276.22538300499,104291.40918353482,0.027105023687134026,260.75,235.75,Hyde Park Avenue,221.7126336026637,3.0,3,75082.18000049716,-4,7703.393418120992,10.259949055914444
high_aversion,8,C004,4,78378.09234616818,63855.49732574243,85865.8962564433,0.025370180316323473,363.5,341.25,Beacon Street,147.6610593415814,3.0,4,63188.52894633644,-4,15189.563399831743,24.03848238456643
high_aversion,9,C009,4,70890.01989235633,34328.49880919597,109562.95246231882,0.021819346859086076,925.0,615.75,Massachusetts Avenue,40.1636716253826,3.0,10,39577.98353167804,1,31312.036360678292,79.11478444983504
high_aversion,10,C007,4,57693.1238449198,46983.500272506426,70125.21798869237,0.01880433799267925,420.25,345.0,Longwood Avenue,92.03529538208026,3.0,6,48695.64683025522,-4,8997.477014664582,18.4769637541283
