candidate_id,location,rider_profile,current_lts,target_lts,candidate_length_m,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,baseline_weighted_route_cost,intervention_weighted_route_cost,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,minimum_cost_reduction,routing_origins,runtime_seconds,workers,experiment
C001,Chauncy Street,child,3.0,2,129.6778280830104,1,42319,38188,850,50000.0,45165.0,890.0,270751049.4529184,270603854.63427985,147194.8186385135,0.0543653732592861,52932.490860804646,0.0,22269,126.7485751309432,16,od_seed_684
C001,Chauncy Street,low_confidence_adult,3.0,2,129.6778280830104,1,42319,38188,822,50000.0,45165.0,862.0,276489067.2796048,276363219.9789302,125847.3006746181,0.0455161941529328,58913.84557736355,0.0,22269,131.78658440406434,16,od_seed_684
C001,Chauncy Street,typical_adult,3.0,2,129.6778280830104,1,42319,38188,573,50000.0,45165.0,608.0,247990330.8889263,247927664.1719944,62666.71693191411,0.0252698227012658,57500.37668708848,0.0,22269,135.89831173280254,16,od_seed_684
C001,Chauncy Street,experienced_adult,3.0,2,129.6778280830104,1,42319,38188,418,50000.0,45165.0,444.0,223826561.28193164,223804341.7102875,22219.571644109736,0.0099271380111683,4342.024381926403,0.0,22269,146.35265274508856,16,od_seed_684
C002,Cambridge Street,child,3.0,2,172.27810315911978,1,42319,38188,545,50000.0,45165.0,582.0,270751049.4529184,270639167.5972184,111881.85569997012,0.0413227782222966,-88507.31276624012,0.0,22269,121.01152767590249,16,od_seed_684
C002,Cambridge Street,low_confidence_adult,3.0,2,172.27810315911978,1,42319,38188,550,50000.0,45165.0,586.0,276489067.2796048,276386058.9741742,103008.30543059984,0.0372558330946339,-85199.44857402402,0.0,22269,119.4326287561562,16,od_seed_684
C002,Cambridge Street,typical_adult,3.0,2,172.27810315911978,1,42319,38188,568,50000.0,45165.0,607.0,247990330.8889263,247902075.2686932,88255.62023307657,0.0355883311727205,-9470.346213840636,0.0,22269,117.87652419600636,16,od_seed_684
C002,Cambridge Street,experienced_adult,3.0,2,172.27810315911978,1,42319,38188,529,50000.0,45165.0,561.0,223826561.28193164,223794019.47905344,32541.8028781924,0.0145388477095007,10045.661282419944,0.0,22269,179.00926365610212,16,od_seed_684
C003,Hyde Park Avenue,child,3.0,2,221.7126336026637,2,42319,38188,342,50000.0,45165.0,363.0,270751049.4529184,270643598.6691931,107450.78372528388,0.0396861928854568,-20804.52971338468,0.0,22269,146.97509809629992,16,od_seed_684
C003,Hyde Park Avenue,low_confidence_adult,3.0,2,221.7126336026637,2,42319,38188,341,50000.0,45165.0,362.0,276489067.2796048,276386516.0271144,102551.2524903966,0.0370905271226112,-17686.159845035516,0.0,22269,137.23453112714924,16,od_seed_684
C003,Hyde Park Avenue,typical_adult,3.0,2,221.7126336026637,2,42319,38188,353,50000.0,45165.0,374.0,247990330.8889263,247923043.1297061,67287.7592201514,0.0271332188553308,365.40393919287953,0.0,22269,106.24297975981608,16,od_seed_684
C003,Hyde Park Avenue,experienced_adult,3.0,2,221.7126336026637,2,42319,38188,316,50000.0,45165.0,335.0,223826561.28193164,223798889.83522445,27671.44670717828,0.0123628967664491,5662.462474857253,0.0,22269,119.50006005214529,16,od_seed_684
C004,Beacon Street,child,3.0,2,147.6610593415814,2,42319,38188,434,50000.0,45165.0,468.0,270751049.4529184,270661712.32169485,89337.13122356398,0.0329960424545276,-68394.14051235854,0.0,22269,136.23215956310742,16,od_seed_684
C004,Beacon Street,low_confidence_adult,3.0,2,147.6610593415814,2,42319,38188,419,50000.0,45165.0,450.0,276489067.2796048,276405713.7219416,83353.55766322279,0.0301471441469076,-41076.554862357305,0.0,22269,103.32521675201131,16,od_seed_684
C004,Beacon Street,typical_adult,3.0,2,147.6610593415814,2,42319,38188,508,50000.0,45165.0,545.0,247990330.8889263,247923020.41428244,67310.47464386278,0.0271423786575012,-6485.324313462796,0.0,22269,116.7437970188912,16,od_seed_684
