combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002,C001;C002,2,301.9559312421302,child,2,2,42319,38188,1385,50000.0,45165.0,1462.0,258627.69746792165,0.0955223250253347,-37322.77289262529,-0.8263649483588019,0.0,131.21704747201875,16
C001+C002,C001;C002,2,301.9559312421302,low_confidence_adult,2,2,42319,38188,1369,50000.0,45165.0,1445.0,228352.2298251248,0.0825899671447765,-26810.52136673079,-0.5936127834989658,0.0,108.2944203701336,16
C001+C002,C001;C002,2,301.9559312421302,typical_adult,2,2,42319,38188,1137,50000.0,45165.0,1210.0,150691.13821544364,0.0607649248562588,47712.20514237706,1.056397766907496,0.0,211.67726599192247,16
C001+C002,C001;C002,2,301.9559312421302,experienced_adult,2,2,42319,38188,940,50000.0,45165.0,998.0,54512.00658221323,0.0243545744839237,14381.361120503734,0.3184182690247699,0.0,121.55145800695756,16
C001+C003,C001;C003,2,351.3904616856741,child,2,3,42319,38188,1181,50000.0,45165.0,1242.0,254783.0193682491,0.0941023201509525,31065.62431827361,0.6878251814075859,0.0,129.3414624449797,16
C001+C003,C001;C003,2,351.3904616856741,low_confidence_adult,2,3,42319,38188,1152,50000.0,45165.0,1213.0,228398.55316501093,0.0826067212755427,41227.68573232836,0.9128237735487292,0.0,136.5403131551575,16
C001+C003,C001;C003,2,351.3904616856741,typical_adult,2,3,42319,38188,918,50000.0,45165.0,974.0,129954.47615206229,0.0524030415565953,57865.78062628166,1.2812084717432006,0.0,147.96136043407023,16
C001+C003,C001;C003,2,351.3904616856741,experienced_adult,2,3,42319,38188,727,50000.0,45165.0,772.0,49891.01835128512,0.0222900347776162,10004.486856783977,0.2215097278154318,0.0,122.38756487704812,16
C001+C004,C001;C004,2,277.3388874245918,child,2,3,42319,38188,1236,50000.0,45165.0,1304.0,232088.51730774625,0.0857202650836279,-21970.142391066885,-0.486441766657077,0.0,98.41937333717942,16
C001+C004,C001;C004,2,277.3388874245918,low_confidence_adult,2,3,42319,38188,1198,50000.0,45165.0,1263.0,205903.68604022032,0.0744708237711245,11168.148775441912,0.2472744110581625,0.0,121.67542337696068,16
C001+C004,C001;C004,2,277.3388874245918,typical_adult,2,3,42319,38188,1034,50000.0,45165.0,1100.0,126546.11442837048,0.0510286485665644,47138.193713866334,1.0436885578183623,0.0,126.98583347117528,16
C001+C004,C001;C004,2,277.3388874245918,experienced_adult,2,3,42319,38188,923,50000.0,45165.0,984.0,53122.65868705995,0.023733849272762,-1707.3757288164722,-0.0378030716000547,0.0,117.85767242591828,16
C001+C005,C001;C005,2,225.04304361480968,child,2,2,42319,38188,1232,50000.0,45165.0,1295.0,211313.341885025,0.078047099840243,111915.12790755068,2.4779171461873286,0.0,120.82746438798496,16
C001+C005,C001;C005,2,225.04304361480968,low_confidence_adult,2,2,42319,38188,1213,50000.0,45165.0,1276.0,189247.13240904827,0.0684465155425724,62478.98275297103,1.3833495572450134,0.0,111.04253501701167,16
C001+C005,C001;C005,2,225.04304361480968,typical_adult,2,2,42319,38188,912,50000.0,45165.0,967.0,92843.537488119,0.0374383699377792,74883.77007404283,1.658004429847068,0.0,126.93983175698668,16
C001+C005,C001;C005,2,225.04304361480968,experienced_adult,2,2,42319,38188,664,50000.0,45165.0,706.0,32062.70430804892,0.0143247986853815,5119.14074985837,0.1133430919928787,0.0,149.78224014886655,16
C001+C006,C001;C006,2,238.0212003122826,child,2,2,42319,38188,1295,50000.0,45165.0,1366.0,224331.94828964229,0.0828554307519505,112242.77047027288,2.485171492754852,0.0,97.62911193305628,16
