combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002+C003,C001;C002;C003,3,523.6685648447939,child,2,4,42319,38188,1716,50000.0,45165.0,1814.0,366215.8981976573,0.1352592719170012,-59189.63943515632,-1.3105200804861357,0.0,137.21795355109498,16
C001+C002+C003,C001;C002;C003,3,523.6685648447939,low_confidence_adult,2,4,42319,38188,1699,50000.0,45165.0,1796.0,330903.4823155176,0.1196804942673864,-44496.68121176598,-0.9852027280364436,0.0,105.77736628195272,16
C001+C002+C003,C001;C002;C003,3,523.6685648447939,typical_adult,2,4,42319,38188,1482,50000.0,45165.0,1576.0,217978.89743559185,0.0878981437115883,48077.60908157024,1.0644881895620557,0.0,108.02306017279624,16
C001+C002+C003,C001;C002;C003,3,523.6685648447939,experienced_adult,2,4,42319,38188,1249,50000.0,45165.0,1326.0,82183.45328938862,0.0367174712503716,20043.82359536131,0.4437910682023981,0.0,149.38245112542063,16
C001+C002+C004,C001;C002;C004,3,449.6169905837116,child,2,4,42319,38188,1720,50000.0,45165.0,1817.0,337020.1897637495,0.1244760419007553,-96789.08106202808,-2.143010761918036,0.0,146.7309281602502,16
C001+C002+C004,C001;C002;C004,3,449.6169905837116,low_confidence_adult,2,4,42319,38188,1709,50000.0,45165.0,1803.0,303160.8650555623,0.1096466012339595,-67841.22813746892,-1.5020752382922378,0.0,130.96280552027747,16
C001+C002+C004,C001;C002;C004,3,449.6169905837116,typical_adult,2,4,42319,38188,1533,50000.0,45165.0,1630.0,209706.6327091486,0.0845624230418383,34907.37040301053,0.7728854290492755,0.0,132.39650742290542,16
C001+C002+C004,C001;C002;C004,3,449.6169905837116,experienced_adult,2,4,42319,38188,1322,50000.0,45165.0,1408.0,78726.58408889442,0.0351730302418087,8661.153727948978,0.1917669374061547,0.0,133.87035329872742,16
C001+C002+C005,C001;C002;C005,3,397.3211467739295,child,2,3,42319,38188,1767,50000.0,45165.0,1867.0,322746.22071443324,0.1192040516062917,21659.864154120754,0.4795718842936068,0.0,131.85300747212025,16
C001+C002+C005,C001;C002;C005,3,397.3211467739295,low_confidence_adult,2,3,42319,38188,1760,50000.0,45165.0,1859.0,291752.061559555,0.1055202885344161,-23245.384191123307,-0.5146769443401595,0.0,139.4211629331112,16
C001+C002+C005,C001;C002;C005,3,397.3211467739295,typical_adult,2,3,42319,38188,1476,50000.0,45165.0,1569.0,180867.95877164853,0.0729334720927722,65095.59852933141,1.4412841476659228,0.0,127.17241558199748,16
C001+C002+C005,C001;C002;C005,3,397.3211467739295,experienced_adult,2,3,42319,38188,1186,50000.0,45165.0,1260.0,64355.13924615242,0.0287522351581369,15158.477488435705,0.3356244323798451,0.0,114.24288432300092,16
C001+C002+C006,C001;C002;C006,3,410.2993034714024,child,2,3,42319,38188,1830,50000.0,45165.0,1938.0,335764.82711905043,0.1240123825179992,21987.506716842938,0.48682623086113,0.0,112.80269118899014,16
C001+C002+C006,C001;C002;C006,3,410.2993034714024,low_confidence_adult,2,3,42319,38188,1826,50000.0,45165.0,1933.0,307916.6713087617,0.1113666715065356,24210.027392730124,0.5360351465234169,0.0,148.0621271940181,16
C001+C002+C006,C001;C002;C006,3,410.2993034714024,typical_adult,2,3,42319,38188,1503,50000.0,45165.0,1601.0,192543.17096071504,0.0776414024976458,73595.70501057492,1.62948533179619,0.0,218.45286136493087,16
C001+C002+C006,C001;C002;C006,3,410.2993034714024,experienced_adult,2,3,42319,38188,1233,50000.0,45165.0,1316.0,65496.08852457472,0.0292619822015117,32715.12299277902,0.7243467949248095,0.0,129.26208779984154,16
C001+C002+C007,C001;C002;C007,3,393.99122662421047,child,2,4,42319,38188,1833,50000.0,45165.0,1999.0,324971.63771833375,0.1200259937588326,-85448.47450000045,-1.891917956382164,0.0,126.57649579411373,16
C001+C002+C007,C001;C002;C007,3,393.99122662421047,low_confidence_adult,2,4,42319,38188,1792,50000.0,45165.0,1953.0,289087.9841387726,0.1045567504650832,-65705.0538206304,-1.4547781206826171,0.0,143.37692874413915,16
C001+C002+C007,C001;C002;C007,3,393.99122662421047,typical_adult,2,4,42319,38188,1687,50000.0,45165.0,1865.0,201186.04134647135,0.0811265667598071,20129.47032532819,0.4456873757406884,0.0,139.3119328240864,16
C001+C002+C007,C001;C002;C007,3,393.99122662421047,experienced_adult,2,4,42319,38188,1603,50000.0,45165.0,1766.0,81638.6652280263,0.0364740738366588,12355.064723633,0.2735539626620834,0.0,149.03547333320603,16
C001+C002+C008,C001;C002;C008,3,371.2068085735771,child,2,3,42319,38188,1828,50000.0,45165.0,1935.0,313008.7796806861,0.1156075960972834,2907.06463108755,0.0643654296709299,0.0,147.5923112537712,16
C001+C002+C008,C001;C002;C008,3,371.2068085735771,low_confidence_adult,2,3,42319,38188,1842,50000.0,45165.0,1951.0,282677.60893973167,0.1022382590823631,-13448.566909570633,-0.2977652365674888,0.0,126.83289834600872,16
C001+C002+C008,C001;C002;C008,3,371.2068085735771,typical_adult,2,3,42319,38188,1519,50000.0,45165.0,1613.0,175112.22030925396,0.0706125193194269,65318.869653043184,1.446227602192919,0.0,138.2037530960515,16
C001+C002+C008,C001;C002;C008,3,371.2068085735771,experienced_adult,2,3,42319,38188,1203,50000.0,45165.0,1279.0,62188.50331747897,0.0277842374744552,14570.860349224684,0.3226139787274368,0.0,159.6935311332345,16
C001+C002+C009,C001;C002;C009,3,342.1196028675128,child,2,3,42319,38188,1977,50000.0,45165.0,2365.0,312981.1610181595,0.1155973953381054,-37171.34061165544,-0.8230120804086226,0.0,175.75009966711514,16
