combination_id,candidate_ids,project_count,cumulative_length_m,rider_profile,target_lts,modified_directed_edges,od_records,routed_od_records,improved_od_records,total_demand,routed_demand,improved_demand,demand_weighted_route_cost_reduction,percent_baseline_cost_reduction,demand_weighted_distance_change_m,mean_distance_change_m,minimum_cost_reduction,runtime_seconds,workers
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,child,2,6,42319,38188,2050,50000.0,45165.0,2168.0,444608.3904934852,0.1642129887924217,-118655.94760455911,-2.62716589404537,0.0,126.96228456799872,16
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,low_confidence_adult,2,6,42319,38188,2038,50000.0,45165.0,2153.0,405712.1175459551,0.1467371283565693,-85527.38798250411,-1.893665182829716,0.0,125.36575112701394,16
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,typical_adult,2,6,42319,38188,1875,50000.0,45165.0,1993.0,276994.3919292968,0.1116956418971678,35272.7743422037,0.7809758517038349,0.0,101.10401624208316,16
C001+C002+C003+C004,C001;C002;C003;C004,4,671.3296241863752,experienced_adult,2,6,42319,38188,1628,50000.0,45165.0,1733.0,106398.0307960698,0.0475359270082566,14323.616202806556,0.3171397365837829,0.0,123.61049982404802,16
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,child,2,5,42319,38188,2097,50000.0,45165.0,2218.0,430161.8090928006,0.1588772453373639,-928.7585126367394,-0.0205636779062712,0.0,121.4044129269896,16
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,low_confidence_adult,2,5,42319,38188,2087,50000.0,45165.0,2207.0,393963.87809248513,0.1424880491546097,-40929.61676318327,-0.9062242170526574,0.0,176.50566702801734,16
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,typical_adult,2,5,42319,38188,1821,50000.0,45165.0,1935.0,248155.71799179676,0.1000666909481017,65461.00246852457,1.449374570320482,0.0,148.13262401893735,16
C001+C002+C003+C005,C001;C002;C003;C005,4,619.0337803765932,experienced_adult,2,5,42319,38188,1495,50000.0,45165.0,1588.0,92026.5859533278,0.0411151319245847,20820.93996329328,0.4609972315574732,0.0,147.60808718507178,16
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,child,2,5,42319,38188,2153,50000.0,45165.0,2282.0,443421.069701319,0.1637744601903848,-330.5166741794201,-0.0073179823797059,0.0,111.15102927293628,16
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,low_confidence_adult,2,5,42319,38188,2148,50000.0,45165.0,2276.0,410467.92379915447,0.1484571986291454,6523.867547694934,0.1444452019859389,0.0,144.1689214440994,16
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,typical_adult,2,5,42319,38188,1836,50000.0,45165.0,1955.0,259830.9301808632,0.1047746213529753,73961.1089497681,1.6375757544507494,0.0,147.1463435110636,16
C001+C002+C003+C006,C001;C002;C003;C006,4,632.011937074066,experienced_adult,2,5,42319,38188,1534,50000.0,45165.0,1636.0,93167.53523175012,0.0416248789679596,38377.585467636585,0.8497195941024374,0.0,151.2831626581028,16
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,child,2,6,42319,38188,2163,50000.0,45165.0,2350.0,432559.8384480694,0.159762940650499,-107315.34104253148,-2.376073088509498,0.0,137.29820732027292,16
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,low_confidence_adult,2,6,42319,38188,2121,50000.0,45165.0,2303.0,391639.23662916536,0.1416472775876931,-83391.21366566561,-1.8463680652200956,0.0,126.7008702380117,16
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,typical_adult,2,6,42319,38188,2031,50000.0,45165.0,2230.0,268473.80056661955,0.1082597856151366,20494.87426452136,0.4537777983952477,0.0,129.05505187402014,16
C001+C002+C003+C007,C001;C002;C003;C007,4,615.7038602268741,experienced_adult,2,6,42319,38188,1911,50000.0,45165.0,2093.0,109310.11193520168,0.0488369706031067,18017.52719849057,0.3989267618397115,0.0,150.8238288811408,16
C001+C002+C003+C008,C001;C002;C003;C008,4,592.9194421762409,child,2,5,42319,38188,2157,50000.0,45165.0,2285.0,420502.7110736545,0.1553097252709917,-19681.558035669947,-0.4357701325289482,0.0,138.81647135620003,16
C001+C002+C003+C008,C001;C002;C003;C008,4,592.9194421762409,low_confidence_adult,2,5,42319,38188,2168,50000.0,45165.0,2298.0,384999.1056931032,0.1392456886202178,-31132.7994816306,-0.6893125092799868,0.0,143.02523877471685,16
C001+C002+C003+C008,C001;C002;C003;C008,4,592.9194421762409,typical_adult,2,5,42319,38188,1863,50000.0,45165.0,1978.0,242383.80818635423,0.0977392172176732,65301.91501114737,1.4458522088153962,0.0,143.44865751592442,16
C001+C002+C003+C008,C001;C002;C003;C008,4,592.9194421762409,experienced_adult,2,5,42319,38188,1512,50000.0,45165.0,1607.0,89859.95002465436,0.0401471342409031,20233.322824082257,0.4479867779050649,0.0,143.47125060437247,16
C001+C002+C003+C009,C001;C002;C003;C009,4,563.8322364701764,child,2,5,42319,38188,2306,50000.0,45165.0,2715.0,420569.36174789513,0.1553343422297718,-59038.207154186486,-1.3071672125359568,0.0,142.31192072620615,16
C001+C002+C003+C009,C001;C002;C003;C009,4,563.8322364701764,low_confidence_adult,2,5,42319,38188,2287,50000.0,45165.0,2695.0,381421.4618010463,0.1379517336992303,-44419.90333887169,-0.9835027862032922,0.0,135.51382526592351,16
C001+C002+C003+C009,C001;C002;C003;C009,4,563.8322364701764,typical_adult,2,5,42319,38188,2097,50000.0,45165.0,2502.0,251275.95207348184,0.1013248989074606,47041.06288691731,1.041537980447632,0.0,125.77981710195309,16
C001+C002+C003+C009,C001;C002;C003;C009,4,563.8322364701764,experienced_adult,2,5,42319,38188,1879,50000.0,45165.0,2268.0,97342.7183910046,0.0434902443362795,19920.18884367896,0.441053666416007,0.0,164.8912212450523,16
C001+C002+C003+C010,C001;C002;C003;C010,4,577.0602254535278,child,2,5,42319,38188,1956,50000.0,45165.0,2098.0,435651.75281931576,0.16090491752464,-59189.63943515632,-1.3105200804861357,0.0,127.42337825195864,16
C001+C002+C003+C010,C001;C002;C003;C010,4,577.0602254535278,low_confidence_adult,2,5,42319,38188,1939,50000.0,45165.0,2080.0,398796.3179455837,0.1442358361107614,-44496.68121176598,-0.9852027280364436,0.0,153.22176154283807,16
C001+C002+C003+C010,C001;C002;C003;C010,4,577.0602254535278,typical_adult,2,5,42319,38188,1722,50000.0,45165.0,1860.0,259640.41020858692,0.104697795788207,48077.60908157024,1.0644881895620557,0.0,145.4529275051318,16
C001+C002+C003+C010,C001;C002;C003;C010,4,577.0602254535278,experienced_adult,2,5,42319,38188,1489,50000.0,45165.0,1610.0,107643.26665066335,0.0480922666345555,20043.82359536131,0.4437910682023981,0.0,151.26887764502317,16
