scenario_id,scenario_description,lts1_weight,lts2_weight,lts3_weight,lts4_weight
1,baseline,1,1.5,3,6
2,child_higher_lts2,1,2.5,4,8
3,child_higher_lts3,1,2,5.5,8
4,child_higher_lts4,1,2,4,11
5,child_high_aversion,1,3,6,12
6,low_confidence_adult_baseline,1,1.6,3,6
7,low_confidence_adult_higher_lts2,1,2,3,6
8,low_confidence_adult_higher_lts3,1,1.6,4,6
9,low_confidence_adult_higher_lts4,1,1.6,3,8
10,low_confidence_adult_high_aversion,1,2.2,4.5,9
11,typical_adult_baseline,1,1.3,2.2,4
12,typical_adult_higher_lts2,1,1.6,2.2,4
13,typical_adult_higher_lts3,1,1.3,3,4
14,typical_adult_higher_lts4,1,1.3,2.2,5.5
15,typical_adult_high_aversion,1,1.7,3.2,6
16,experienced_traffic_tolerant_baseline,1,1.1,1.5,2.75
17,experienced_traffic_tolerant_higher_lts2,1,1.25,1.5,2.75
18,experienced_traffic_tolerant_higher_lts3,1,1.1,2,2.75
19,experienced_traffic_tolerant_higher_lts4,1,1.1,1.5,4
20,experienced_traffic_tolerant_high_aversion,1,1.3,2.2,4.5
